,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
171,越秀星汇中心,总价144(万/套),11000.0, 元/㎡(均价),写字楼,临安,,144.0,144.0,,
172,海威天地,总价350(万/套),65000.0, 元/㎡(均价),底商,滨江,,350.0,350.0,,
173,佳源岛,总价88-150(万/套),14500.0, 元/㎡(均价),住宅,淳安,建面 55-115㎡,88.0,150.0,55.0,115.0
174,星创城映月璟园,总价290(万/套),29000.0, 元/㎡(均价),住宅,余杭,建面 100-131㎡,290.0,290.0,100.0,131.0
175,浅山,总价350(万/套),26000.0, 元/㎡(均价),别墅,淳安,建面 135-138㎡,350.0,350.0,135.0,138.0
176,杭房首望澜翠府,总价210-250(万/套),19000.0, 元/㎡(均价),住宅,富阳,建面 112-136㎡,210.0,250.0,112.0,136.0
177,百郦玲珑府,总价365-520(万/套),36800.0, 元/㎡(均价),住宅,上城,建面 95-130㎡,365.0,520.0,95.0,130.0
178,阳光城檀瑞府,总价211-255(万/套),22000.0, 元/㎡(均价),住宅,富阳,建面 96-116㎡,211.0,255.0,96.0,116.0
179,中顺新澜悦,总价100-140(万/套),21000.0, 元/㎡(均价),写字楼,临平区,建面 45-58㎡,100.0,140.0,45.0,58.0
180,嘉品美寓,总价202-300(万/套),21000.0, 元/㎡(均价),住宅,桐庐,建面 96-135㎡,202.0,300.0,96.0,135.0
181,德信赋富春云庄,总价180-240(万/套),19000.0, 元/㎡(均价),住宅,桐庐,建面 101-127㎡,180.0,240.0,101.0,127.0
182,德信赋富春云庄,总价551(万/套),30000.0, 元/㎡(均价),别墅,桐庐,建面 178-190㎡,551.0,551.0,178.0,190.0
183,望湖尚城,总价420(万/套),14000.0, 元/㎡(均价),商业,富阳,建面 300-313㎡,420.0,420.0,300.0,313.0
184,文宸望府,总价208(万/套),21400.0, 元/㎡(均价),住宅,萧山,建面 98-118㎡,208.0,208.0,98.0,118.0
185,三迪雅颂美筑,总价130(万/套),14600.0, 元/㎡(均价),住宅,钱塘区,建面 88-112㎡,130.0,130.0,88.0,112.0
186,江山风华邻里中心,总价210(万/套),70000.0, 元/㎡(均价),商业,临平区,,210.0,210.0,,
187,新希望华发锦粼云荟,总价127(万/套),48000.0, 元/㎡(均价),底商,萧山,,127.0,127.0,,
188,杭曜之城,总价315-384(万/套),30000.0, 元/㎡(均价),住宅,钱塘区,建面 105-128㎡,315.0,384.0,105.0,128.0
189,杭望云潮城,,,,住宅,钱塘区,,,,,
190,湖印光年府,总价300-420(万/套),30000.0, 元/㎡(均价),住宅,钱塘区,建面 105-139㎡,300.0,420.0,105.0,139.0
191,之彩城,总价139-209(万/套),17000.0, 元/㎡(均价),住宅,萧山,建面 97-129㎡,139.0,209.0,97.0,129.0
192,万泰华章,总价151.3-200.6(万/套),17000.0, 元/㎡(均价),住宅,萧山,建面 89-118㎡,151.0,151.0,89.0,118.0
193,宝业凤樾上筑,,,,住宅,萧山,,,,,
194,启航城,总价144-167(万/套),20000.0, 元/㎡(均价),住宅,余杭,建面 97-131㎡,144.0,167.0,97.0,131.0
195,杭臻源筑,总价400-530(万/套),37500.0, 元/㎡(均价),住宅,钱塘区,建面 105-142㎡,400.0,530.0,105.0,142.0
196,招商德信.花芸春境府,总价406-437(万/套),31500.0, 元/㎡(均价),住宅,上城,建面 101-139㎡,406.0,437.0,101.0,139.0
197,华家印月,总价1800-2500(万/套),58000.0, 元/㎡(均价),写字楼,上城,建面 366-420㎡,1800.0,2500.0,366.0,420.0
198,瑞源邸,总价195-248(万/套),20500.0, 元/㎡(均价),住宅,富阳,建面 93-121㎡,195.0,248.0,93.0,121.0
199,臻奥院,总价1200(万/套),80000.0, 元/㎡(均价),写字楼,滨江,,1200.0,1200.0,,
200,华景川科大.湖沁宸园,,,,住宅,临平区,,,,,
201,中天翡玥府,总价155-176(万/套),18000.0, 元/㎡(均价),住宅,钱塘区,建面 86-101㎡,155.0,176.0,86.0,101.0
202,锦翠栖源府,,,,住宅,西湖,,,,,
203,迪凯金座,总价422-4000(万/套),67000.0, 元/㎡(均价),写字楼,上城,建面 63-403㎡,422.0,4000.0,63.0,403.0
204,溪悦云和园,总价300(万/套),35400.0, 元/㎡(均价),住宅,西湖,建面 98-140㎡,300.0,300.0,98.0,140.0
205,君铂府,总价145.5-179(万/套),16257.0, 元/㎡(均价),住宅,萧山,建面 99-120㎡,145.0,145.0,99.0,120.0
206,桐韵家园,总价120-203(万/套),16000.0, 元/㎡(均价),住宅,桐庐,建面 75-139㎡,120.0,203.0,75.0,139.0
207,如沐清晖城,总价511-645(万/套),41500.0, 元/㎡(均价),别墅,临安,建面 158-195㎡,511.0,645.0,158.0,195.0
208,临之锦,,,,住宅,临平区,,,,,
209,绿城莲园,总价1239-1260(万/套),40000.0, 元/㎡(均价),别墅,临平区,建面 257-300㎡,1239.0,1260.0,257.0,300.0
