,house_name,total_price,total_price_desc,unit_price,info,location1,area,longitude,dimension,latitude,distance_rg
12976,共康四村 ,360.0,万,55901.0,2室1厅 | 64.4平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,彭浦,64.4,121.436268,31.317599,31.317599,10.551276911847214
12977,平顺路941弄 ,254.4,万,57766.0,1室1厅 | 44.04平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,彭浦,44.04,121.455396,31.319590,31.31959,10.279549486739462
12978,三泉家园 ,730.0,万,47710.0,5室2厅 | 153.01平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,彭浦,153.01,121.438527,31.318426,31.318426,10.56517566152011
12979,场中小区 ,244.0,万,54648.0,1室1厅 | 44.65平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,彭浦,44.65,121.451442,31.306404,31.306404,8.927402565921017
12980,临汾路1564弄 ,238.0,万,56279.0,1室1厅 | 42.29平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,彭浦,42.29,121.436698,31.312212,31.312212,9.976738237765495
12981,闻喜华庭 ,958.0,万,86799.0,2室2厅 | 110.37平米 | 南 北 | 简装 | 低楼层(共18层) | 2016年建 | 板楼,彭浦,110.37,121.446013,31.306998,31.306998,9.133863411630825
12982,三泉公寓 ,850.0,万,54882.0,4室2厅 | 154.88平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,彭浦,154.88,121.439308,31.313179,31.313179,9.99003161174243
12983,场中路2471弄 ,248.0,万,56454.0,1室1厅 | 43.93平米 | 东南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,彭浦,43.93,121.442937,31.305564,31.305564,9.07591301916362
12984,阳景小区 ,195.0,万,56180.0,1室1厅 | 34.71平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,彭浦,34.71,121.458373,31.318751,31.318751,10.139614287431781
12985,临汾路1515弄 ,275.0,万,55100.0,1室1厅 | 49.91平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,49.91,121.436702,31.308753,31.308753,9.619281008658442
12986,爱建新家园 ,1090.0,万,61261.0,3室2厅 | 177.93平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,彭浦,177.93,121.457773,31.307227,31.307227,8.885326104328094
12987,和源名城 ,430.0,万,67974.0,2室1厅 | 63.26平米 | 南 西 | 简装 | 中楼层(共34层) | 2014年建 | 板楼,彭浦,63.26,121.466516,31.317471,31.317471,9.905419013049183
12988,和源名城 ,510.0,万,62639.0,2室2厅 | 81.42平米 | 南 | 精装 | 低楼层(共34层) | 2011年建 | 板楼,彭浦,81.42,121.466516,31.317471,31.317471,9.905419013049183
12989,和源名城 ,919.0,万,57085.0,4室2厅 | 160.99平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2011年建 | 板楼,彭浦,160.99,121.466516,31.317471,31.317471,9.905419013049183
12990,和源名城 ,360.0,万,63414.0,1室1厅 | 56.77平米 | 南 西 北 | 简装 | 低楼层(共35层) | 2014年建 | 板楼,彭浦,56.77,121.466516,31.317471,31.317471,9.905419013049183
12991,保德公寓 ,232.0,万,54977.0,1室1厅 | 42.2平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,彭浦,42.2,121.443555,31.315207,31.315207,10.075475958289953
12992,康德公寓 ,768.0,万,63645.0,4室3厅 | 120.67平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,彭浦,120.67,121.445911,31.319478,31.319478,10.468885979993358
