,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
512,龙湖熙上,总价214-294(万/套),23500.0, 元/㎡(均价),住宅,上海周边,建面 91-125㎡,214.0,294.0,91.0,125.0
513,琴上景园,总价224-330(万/套),20000.0, 元/㎡(均价),住宅,上海周边,建面 112-165㎡,224.0,330.0,112.0,165.0
514,中锐星悦江南,总价152-190(万/套),16300.0, 元/㎡(均价),住宅,上海周边,建面 97-117㎡,152.0,190.0,97.0,117.0
515,中锐星悦江南,总价214-240(万/套),16800.0, 元/㎡(均价),别墅,上海周边,建面 138-143㎡,214.0,240.0,138.0,143.0
516,辉映时代花园,总价368-408(万/套),30900.0, 元/㎡(均价),住宅,上海周边,建面 119-132㎡,368.0,408.0,119.0,132.0
517,昆承·状元里,总价196-236(万/套),18000.0, 元/㎡(均价),住宅,上海周边,建面 109-131㎡,196.0,236.0,109.0,131.0
518,保利和光晨樾,总价178-229(万/套),18000.0, 元/㎡(均价),住宅,上海周边,建面 99-127㎡,178.0,229.0,99.0,127.0
519,橡树澜湾花园,总价166-247(万/套),18000.0, 元/㎡(均价),住宅,上海周边,建面 92-137㎡,166.0,247.0,92.0,137.0
520,鲲湖天境花园,总价363(万/套),16000.0, 元/㎡(均价),住宅,上海周边,建面 227㎡,363.0,363.0,227.0,227.0
521,天地源·金兰雅苑,总价196-260(万/套),20000.0, 元/㎡(均价),住宅,上海周边,建面 98-130㎡,196.0,260.0,98.0,130.0
522,龙吴路1333弄商铺,总价540(万/套),110000.0, 元/㎡(均价),商业,徐汇,,540.0,540.0,,
523,中旅运河名著,总价230-266(万/套),18000.0, 元/㎡(均价),住宅,上海周边,建面 102-148㎡,230.0,266.0,102.0,148.0
524,绿地理想城,总价142-178(万/套),18500.0, 元/㎡(均价),住宅,上海周边,建面 77-96㎡,142.0,178.0,77.0,96.0
525,江南桃源,总价453(万/套),30000.0, 元/㎡(均价),别墅,上海周边,建面 151㎡,453.0,453.0,151.0,151.0
526,玖境府,总价112-150(万/套),12600.0, 元/㎡(均价),住宅,上海周边,建面 89-119㎡,112.0,150.0,89.0,119.0
527,长泰滨河国际,总价249-341(万/套),23500.0, 元/㎡(均价),住宅,上海周边,建面 106-145㎡,249.0,341.0,106.0,145.0
528,宋都·如意铭著,总价230-240(万/套),18500.0, 元/㎡(均价),住宅,上海周边,建面 105-127㎡,230.0,240.0,105.0,127.0
529,金地丰盛道,总价845-985(万/套),61596.0, 元/㎡(均价),别墅,松江,建面 137-160㎡,845.0,985.0,137.0,160.0
530,宝华颛桥紫薇花园,总价585-825(万/套),67000.0, 元/㎡(均价),住宅,闵行,建面 87-123㎡,585.0,825.0,87.0,123.0
531,湖东未来,总价308-340(万/套),23250.0, 元/㎡(均价),住宅,上海周边,建面 95-105㎡,308.0,340.0,95.0,105.0
532,绿地华创中心,总价600(万/套),55000.0, 元/㎡(均价),商业,浦东,,600.0,600.0,,
533,万业新阶(商铺),总价2000(万/套),80000.0, 元/㎡(均价),商业,普陀,,2000.0,2000.0,,
534,中建河风印月,总价166-236(万/套),20000.0, 元/㎡(均价),住宅,上海周边,建面 83-118㎡,166.0,236.0,83.0,118.0
535,新希望锦麟府,总价488-500(万/套),32000.0, 元/㎡(均价),别墅,上海周边,建面 153-300㎡,488.0,500.0,153.0,300.0
536,星悦,总价580(万/套),30000.0, 元/㎡(均价),商业,松江,,580.0,580.0,,
537,新城银洲·云图时光,总价151-200(万/套),16980.0, 元/㎡(均价),住宅,上海周边,建面 89-118㎡,151.0,200.0,89.0,118.0
538,合颂兰亭花园,总价260-320(万/套),23600.0, 元/㎡(均价),住宅,上海周边,建面 110-143㎡,260.0,320.0,110.0,143.0
539,新城嘉樾时代花园,总价267-360(万/套),30900.0, 元/㎡(均价),住宅,上海周边,建面 89-120㎡,267.0,360.0,89.0,120.0
540,绿城春来云潮府,总价120-180(万/套),13500.0, 元/㎡(均价),住宅,上海周边,建面 89-126㎡,120.0,180.0,89.0,126.0
541,恒大悦澜湾,总价168-207(万/套),16000.0, 元/㎡(均价),住宅,上海周边,建面 88-137㎡,168.0,207.0,88.0,137.0
542,路劲象屿岛上的院子,总价356-436(万/套),36000.0, 元/㎡(均价),别墅,崇明,建面 89-109㎡,356.0,436.0,89.0,109.0
543,雅居乐嘉宏・中央公馆,总价155-223(万/套),16790.0, 元/㎡(均价),住宅,上海周边,建面 100-133㎡,155.0,223.0,100.0,133.0
544,绿城·长兴桃花源,总价430-750(万/套),30000.0, 元/㎡(均价),别墅,上海周边,建面 155-220㎡,430.0,750.0,155.0,220.0
545,星斓璟园,总价116-152(万/套),12800.0, 元/㎡(均价),住宅,上海周边,建面 89-117㎡,116.0,152.0,89.0,117.0
546,宝业青春里,总价220-280(万/套),29181.0, 元/㎡(均价),住宅,奉贤,建面 75-95㎡,220.0,280.0,75.0,95.0
547,紫砂文旅城,总价200(万/套),21000.0, 元/㎡(均价),商业,上海周边,,200.0,200.0,,
548,锦江雅苑,总价135-250(万/套),13500.0, 元/㎡(均价),住宅,上海周边,建面 98-187㎡,135.0,250.0,98.0,187.0
549,晨曦雅苑,总价223-293(万/套),24700.0, 元/㎡(均价),住宅,上海周边,建面 89-117㎡,223.0,293.0,89.0,117.0
550,江南一品,总价69-98(万/套),11200.0, 元/㎡(均价),住宅,上海周边,建面 69-98㎡,69.0,98.0,69.0,98.0
551,春风蓝田,总价300-800(万/套),27000.0, 元/㎡(均价),别墅,上海周边,建面 125-220㎡,300.0,800.0,125.0,220.0
552,海景壹号,总价43-95(万/套),8500.0, 元/㎡(均价),住宅,上海周边,建面 51-112㎡,43.0,95.0,51.0,112.0
553,龙光·天曜,总价255-315(万/套),30000.0, 元/㎡(均价),住宅,浦东,建面 85-105㎡,255.0,315.0,85.0,105.0
554,招商滨江道,总价323-515(万/套),32600.0, 元/㎡(均价),住宅,上海周边,建面 99-158㎡,323.0,515.0,99.0,158.0
555,上坤先番天地,总价400(万/套),60000.0, 元/㎡(均价),商业,松江,,400.0,400.0,,
556,鸿瑞·九龙湾,总价115-205(万/套),14500.0, 元/㎡(均价),住宅,上海周边,建面 79-141㎡,115.0,205.0,79.0,141.0
557,金辉商业中心,总价150(万/套),16000.0, 元/㎡(均价),商业,上海周边,,150.0,150.0,,
558,天和雅园,总价265-332(万/套),24000.0, 元/㎡(均价),住宅,上海周边,建面 106-133㎡,265.0,332.0,106.0,133.0
559,明湖璟园,总价322-590(万/套),25800.0, 元/㎡(均价),住宅,上海周边,建面 125-229㎡,322.0,590.0,125.0,229.0
560,桐昆·云上里,总价226-290(万/套),18000.0, 元/㎡(均价),住宅,上海周边,建面 126-178㎡,226.0,290.0,126.0,178.0
561,禹洲天境铂悦,,,,住宅,奉贤,建面 99-130㎡,,,99.0,130.0
562,雍华府,总价141-200(万/套),14000.0, 元/㎡(均价),住宅,上海周边,建面 101-143㎡,141.0,200.0,101.0,143.0
563,佳源四季璟园,总价112-177(万/套),13000.0, 元/㎡(均价),住宅,上海周边,建面 89-126㎡,112.0,177.0,89.0,126.0
564,花语景岸,总价145-213(万/套),16500.0, 元/㎡(均价),住宅,上海周边,建面 89-115㎡,145.0,213.0,89.0,115.0
565,大名城映玥,总价269-307(万/套),32022.0, 元/㎡(均价),住宅,浦东,建面 74-96㎡,269.0,307.0,74.0,96.0
566,明玥逸庭,总价200-380(万/套),21000.0, 元/㎡(均价),住宅,上海周边,建面 95-181㎡,200.0,380.0,95.0,181.0
567,光明艺树家,总价245-340(万/套),27000.0, 元/㎡(均价),住宅,金山,建面 90-125㎡,245.0,340.0,90.0,125.0
568,绿城乌镇雅园,总价191-270(万/套),26500.0, 元/㎡(均价),住宅,上海周边,建面 83-108㎡,191.0,270.0,83.0,108.0
569,太仓水韵东方,总价110-120(万/套),9000.0, 元/㎡(均价),住宅,上海周边,建面 118-143㎡,110.0,120.0,118.0,143.0
570,绿地公元1860,总价170(万/套),16000.0, 元/㎡(均价),底商,宝山,,170.0,170.0,,
571,碧桂园海上风华,总价80(万/套),19000.0, 元/㎡(均价),商业,上海周边,,80.0,80.0,,
572,长兴金茂逸墅,总价448-501(万/套),35800.0, 元/㎡(均价),别墅,崇明,建面 125-140㎡,448.0,501.0,125.0,140.0
573,锦上文澜雅苑,总价186-238(万/套),19000.0, 元/㎡(均价),住宅,上海周边,建面 98-125㎡,186.0,238.0,98.0,125.0
574,保利明玥霞光,,,,住宅,奉贤,建面 97-133㎡,,,97.0,133.0
575,金融街.金悦府,总价560(万/套),35000.0, 元/㎡(均价),别墅,崇明,建面 160㎡,560.0,560.0,160.0,160.0
576,书香悦府,总价88-92(万/套),12500.0, 元/㎡(均价),住宅,上海周边,建面 70-73㎡,88.0,92.0,70.0,73.0
577,云锦东方云筑,总价3000(万/套),125000.0, 元/㎡(均价),住宅,徐汇,建面 240㎡,3000.0,3000.0,240.0,240.0
578,云锦东方云筑,总价6800-8000(万/套),168750.0, 元/㎡(均价),别墅,徐汇,建面 400-467㎡,6800.0,8000.0,400.0,467.0
579,沁和园,总价3343-4037(万/套),106800.0, 元/㎡(均价),别墅,普陀,建面 313-378㎡,3343.0,4037.0,313.0,378.0
580,文华府,总价115-213.9(万/套),12500.0, 元/㎡(均价),住宅,上海周边,建面 97-186㎡,115.0,213.0,97.0,186.0
581,荣景苑,总价280-425(万/套),40800.0, 元/㎡(均价),住宅,松江,建面 69-104㎡,280.0,425.0,69.0,104.0
582,湖语颂,总价251-322(万/套),23000.0, 元/㎡(均价),住宅,上海周边,建面 109-140㎡,251.0,322.0,109.0,140.0
583,湖语颂,总价380-461(万/套),24500.0, 元/㎡(均价),别墅,上海周边,建面 155-188㎡,380.0,461.0,155.0,188.0
584,绿地潮映江南,总价161-206(万/套),17000.0, 元/㎡(均价),住宅,上海周边,建面 86-110㎡,161.0,206.0,86.0,110.0
585,保利湖畔云上,总价187(万/套),19100.0, 元/㎡(均价),住宅,上海周边,建面 98㎡,187.0,187.0,98.0,98.0
586,保利湖畔云上,总价240-304(万/套),24000.0, 元/㎡(均价),别墅,上海周边,建面 110-160㎡,240.0,304.0,110.0,160.0
587,九溪源著,总价290(万/套),12500.0, 元/㎡(均价),住宅,上海周边,建面 236㎡,290.0,290.0,236.0,236.0
588,九溪源著,总价332(万/套),22000.0, 元/㎡(均价),别墅,上海周边,建面 151㎡,332.0,332.0,151.0,151.0
589,世合万科理想大地望宸里,总价175-250(万/套),15000.0, 元/㎡(均价),住宅,上海周边,建面 117-165㎡,175.0,250.0,117.0,165.0
590,天阅美湖居,总价120-170(万/套),14000.0, 元/㎡(均价),住宅,上海周边,建面 87-120㎡,120.0,170.0,87.0,120.0
591,蓝瓴雅苑,总价167-254(万/套),18000.0, 元/㎡(均价),住宅,上海周边,建面 93-141㎡,167.0,254.0,93.0,141.0
592,翡丽云庭,总价173-234(万/套),18000.0, 元/㎡(均价),住宅,上海周边,建面 96-130㎡,173.0,234.0,96.0,130.0
593,高贤云庭,总价131-181(万/套),13500.0, 元/㎡(均价),住宅,上海周边,建面 97-134㎡,131.0,181.0,97.0,134.0
594,山樾雅苑,总价160-211(万/套),16500.0, 元/㎡(均价),住宅,上海周边,建面 97-128㎡,160.0,211.0,97.0,128.0
595,山樾雅苑,总价351-480(万/套),20000.0, 元/㎡(均价),别墅,上海周边,建面 158-310㎡,351.0,480.0,158.0,310.0
596,绿城·濮院,总价106-220(万/套),19000.0, 元/㎡(均价),住宅,上海周边,建面 56-116㎡,106.0,220.0,56.0,116.0
597,书香河畔,总价194-250(万/套),18500.0, 元/㎡(均价),住宅,上海周边,建面 105-135㎡,194.0,250.0,105.0,135.0
598,时代•春语花庭,总价98-136(万/套),11500.0, 元/㎡(均价),住宅,上海周边,建面 85-118㎡,98.0,136.0,85.0,118.0
599,褐石源筑,总价459(万/套),27000.0, 元/㎡(均价),别墅,上海周边,建面 170㎡,459.0,459.0,170.0,170.0
600,观塘云庐,总价217-353(万/套),17000.0, 元/㎡(均价),住宅,上海周边,建面 128-209㎡,217.0,353.0,128.0,209.0
601,炜赋•同心璟苑,总价152-189(万/套),16000.0, 元/㎡(均价),住宅,上海周边,建面 95-118㎡,152.0,189.0,95.0,118.0
602,和风名筑,总价192-260(万/套),20000.0, 元/㎡(均价),住宅,上海周边,建面 96-130㎡,192.0,260.0,96.0,130.0
603,国风云樾花园,总价230-280(万/套),20000.0, 元/㎡(均价),别墅,上海周边,建面 111-125㎡,230.0,280.0,111.0,125.0
604,融创盛和·潮启未来,总价149-236(万/套),17500.0, 元/㎡(均价),住宅,上海周边,建面 85-135㎡,149.0,236.0,85.0,135.0
605,祥源·悦江南,总价120-163(万/套),13500.0, 元/㎡(均价),住宅,上海周边,建面 89-121㎡,120.0,163.0,89.0,121.0
606,爱情溪岸花园,总价105-159(万/套),13500.0, 元/㎡(均价),住宅,上海周边,建面 78-118㎡,105.0,159.0,78.0,118.0
607,春和景庭,总价94-150(万/套),12500.0, 元/㎡(均价),住宅,上海周边,建面 75-120㎡,94.0,150.0,75.0,120.0
608,尚湖玫瑰园,总价176-312(万/套),19500.0, 元/㎡(均价),住宅,上海周边,建面 90-160㎡,176.0,312.0,90.0,160.0
609,云溪庭,总价147-213(万/套),16500.0, 元/㎡(均价),住宅,上海周边,建面 89-129㎡,147.0,213.0,89.0,129.0
610,绿地香港云缦世家,总价323-410(万/套),19600.0, 元/㎡(均价),住宅,上海周边,建面 165-210㎡,323.0,410.0,165.0,210.0
611,棠悦名筑,总价181-263(万/套),18500.0, 元/㎡(均价),住宅,上海周边,建面 98-142㎡,181.0,263.0,98.0,142.0
612,信德.和悦澜庭,总价124-168(万/套),12800.0, 元/㎡(均价),住宅,上海周边,建面 96-131㎡,124.0,168.0,96.0,131.0
613,凤语江南,总价110-180(万/套),12600.0, 元/㎡(均价),住宅,上海周边,建面 85-143㎡,110.0,180.0,85.0,143.0
614,佳源江湾澜庭,总价118-157(万/套),12300.0, 元/㎡(均价),住宅,上海周边,建面 96-128㎡,118.0,157.0,96.0,128.0
615,翡丽东方花园,总价118-144(万/套),11500.0, 元/㎡(均价),住宅,上海周边,建面 103-125㎡,118.0,144.0,103.0,125.0
616,汇锦里,总价1865(万/套),55000.0, 元/㎡(均价),商业,杨浦,,1865.0,1865.0,,
617,东方城市豪庭,总价400(万/套),35000.0, 元/㎡(均价),商业,浦东,,400.0,400.0,,
618,江南渡商业中心,总价230(万/套),25000.0, 元/㎡(均价),商业,上海周边,,230.0,230.0,,
619,金厦•阳光诚域,总价203-334(万/套),19750.0, 元/㎡(均价),住宅,上海周边,建面 103-169㎡,203.0,334.0,103.0,169.0
620,玖珑台,总价160-222(万/套),16300.0, 元/㎡(均价),住宅,上海周边,建面 98-136㎡,160.0,222.0,98.0,136.0
621,朗诗·乐府,总价267-378(万/套),21350.0, 元/㎡(均价),住宅,上海周边,建面 125-177㎡,267.0,378.0,125.0,177.0
622,靖樾东方,总价340-605(万/套),25000.0, 元/㎡(均价),住宅,上海周边,建面 143-223㎡,340.0,605.0,143.0,223.0
623,暨阳府,总价329-494(万/套),23500.0, 元/㎡(均价),住宅,上海周边,建面 140-210㎡,329.0,494.0,140.0,210.0
624,文锦云庭,总价142-192(万/套),16000.0, 元/㎡(均价),住宅,上海周边,建面 89-120㎡,142.0,192.0,89.0,120.0
625,金厦阳光锦上花园,总价120-209(万/套),15800.0, 元/㎡(均价),住宅,上海周边,建面 76-132㎡,120.0,209.0,76.0,132.0
626,锦城天第,总价71-107(万/套),9600.0, 元/㎡(均价),住宅,上海周边,建面 74-111㎡,71.0,107.0,74.0,111.0
627,天润悦府,总价106-157(万/套),11000.0, 元/㎡(均价),住宅,上海周边,建面 95-142㎡,106.0,157.0,95.0,142.0
628,南宸首府,总价107-145(万/套),10800.0, 元/㎡(均价),住宅,上海周边,建面 99-134㎡,107.0,145.0,99.0,134.0
629,远洋•风景东方,总价116-163(万/套),15500.0, 元/㎡(均价),住宅,上海周边,建面 75-105㎡,116.0,163.0,75.0,105.0
630,中远两湾城西区（商铺）,总价1200(万/套),73000.0, 元/㎡(均价),商业,普陀,,1200.0,1200.0,,
631,建发和玺,总价255-450(万/套),20600.0, 元/㎡(均价),住宅,上海周边,建面 98-337㎡,255.0,450.0,98.0,337.0
632,海伦春天,总价89-125(万/套),10500.0, 元/㎡(均价),住宅,上海周边,建面 85-119㎡,89.0,125.0,85.0,119.0
633,湖悦天境•天著,总价239(万/套),19000.0, 元/㎡(均价),住宅,上海周边,建面 126㎡,239.0,239.0,126.0,126.0
634,湖悦天境•天著,总价268(万/套),19000.0, 元/㎡(均价),别墅,上海周边,建面 141㎡,268.0,268.0,141.0,141.0
635,金辉滨河云璟,总价153-415(万/套),15500.0, 元/㎡(均价),住宅,上海周边,建面 99-268㎡,153.0,415.0,99.0,268.0
636,金辉滨河云璟,总价280-415(万/套),15500.0, 元/㎡(均价),别墅,上海周边,建面 180-268㎡,280.0,415.0,180.0,268.0
637,滨江映,总价152-202(万/套),15500.0, 元/㎡(均价),住宅,上海周边,建面 90-130㎡,152.0,202.0,90.0,130.0
638,东棠春晓,总价200-234(万/套),19000.0, 元/㎡(均价),住宅,上海周边,建面 105-123㎡,200.0,234.0,105.0,123.0
639,东棠春晓,总价326-378(万/套),22500.0, 元/㎡(均价),别墅,上海周边,建面 145-168㎡,326.0,378.0,145.0,168.0
640,新城·和樾,总价116-134(万/套),13000.0, 元/㎡(均价),住宅,上海周边,建面 89-103㎡,116.0,134.0,89.0,103.0
641,东外滩·爱国里,总价820-1315(万/套),97370.0, 元/㎡(均价),住宅,杨浦,建面 84-135㎡,820.0,1315.0,84.0,135.0
642,棠颂云著花园,总价131-180(万/套),15000.0, 元/㎡(均价),住宅,上海周边,建面 87-120㎡,131.0,180.0,87.0,120.0
643,国泰景云台,总价242-554(万/套),20500.0, 元/㎡(均价),住宅,上海周边,建面 118-270㎡,242.0,554.0,118.0,270.0
644,云筑,总价152-189(万/套),16000.0, 元/㎡(均价),住宅,上海周边,建面 95-118㎡,152.0,189.0,95.0,118.0
645,招商云玺,总价1600-3900(万/套),118000.0, 元/㎡(均价),住宅,虹口,建面 134-330㎡,1600.0,3900.0,134.0,330.0
646,金厦阳光经典花园,总价189-226(万/套),15500.0, 元/㎡(均价),住宅,上海周边,建面 122-146㎡,189.0,226.0,122.0,146.0
647,万科金新城大都会,总价294-409(万/套),23000.0, 元/㎡(均价),住宅,上海周边,建面 128-178㎡,294.0,409.0,128.0,178.0
648,万科公园大道,总价243(万/套),17000.0, 元/㎡(均价),住宅,上海周边,建面 143㎡,243.0,243.0,143.0,143.0
649,祥源漫城,总价150(万/套),20000.0, 元/㎡(均价),商业,上海周边,,150.0,150.0,,
650,缤纷里,总价325(万/套),60000.0, 元/㎡(均价),商业,浦东,,325.0,325.0,,
651,龙光·天曜,总价468-532(万/套),40000.0, 元/㎡(均价),别墅,浦东,建面 117-133㎡,468.0,532.0,117.0,133.0
652,春岚水韵,总价72-94(万/套),8000.0, 元/㎡(均价),住宅,上海周边,建面 90-118㎡,72.0,94.0,90.0,118.0
653,春岚水韵,总价350(万/套),12800.0, 元/㎡(均价),别墅,上海周边,建面 267㎡,350.0,350.0,267.0,267.0
654,新华红星国际广场,总价1200(万/套),85000.0, 元/㎡(均价),商业,闵行,,1200.0,1200.0,,
655,澜府,总价325-400(万/套),12000.0, 元/㎡(均价),别墅,上海周边,建面 270-295㎡,325.0,400.0,270.0,295.0
656,宝龙世家,总价150(万/套),38000.0, 元/㎡(均价),商业,浦东,,150.0,150.0,,
657,远洋财富中心（写字楼）,总价200(万/套),28000.0, 元/㎡(均价),写字楼,浦东,,200.0,200.0,,
658,远洋财富中心（商铺）,总价450(万/套),50000.0, 元/㎡(均价),商业,浦东,,450.0,450.0,,
659,高桥红坊,总价700(万/套),85000.0, 元/㎡(均价),商业,浦东,,700.0,700.0,,
660,虹桥富力中心,总价1500(万/套),85000.0, 元/㎡(均价),商业,闵行,,1500.0,1500.0,,
661,东渡悦来城,总价500(万/套),50000.0, 元/㎡(均价),商业,青浦,,500.0,500.0,,
662,平高世贸中心,总价300(万/套),28000.0, 元/㎡(均价),写字楼,松江,,300.0,300.0,,
663,国瑞熙墅,总价345-391(万/套),32500.0, 元/㎡(均价),住宅,上海周边,建面 118-135㎡,345.0,391.0,118.0,135.0
664,国瑞熙墅,,1122.0, (万/套)(总价),别墅,上海周边,建面 280-330㎡,,,280.0,330.0
665,一品漫城(五期),总价400(万/套),58000.0, 元/㎡(均价),商业,闵行,,400.0,400.0,,
666,一品漫城四期,总价300(万/套),60000.0, 元/㎡(均价),商业,闵行,,300.0,300.0,,
667,环创中心,总价15000(万/套),64000.0, 元/㎡(均价),写字楼,杨浦,,15000.0,15000.0,,
